label,batch,sampleType,time,sample_index
GB003588,A,sample,230,230
QC021,A,qc,231,231
GB003730,A,sample,232,232
GB003911,A,sample,233,233
GB003344,A,sample,234,234
GB003975,A,sample,235,235
GB003930,A,sample,236,236
GB003239,A,sample,237,237
GB004064,A,sample,238,238
GB004042,A,sample,239,239
GB004071,A,sample,240,240
GB004194,A,sample,241,241
QC022,A,qc,242,242
GB004277,A,sample,243,243
GB004142,A,sample,244,244
GB004231,A,sample,245,245
GB004025,A,sample,246,246
GB004078,A,sample,247,247
GB004172,A,sample,248,248
GB004144,A,sample,249,249
GB004228,A,sample,250,250
GB004203,A,sample,251,251
GB004020,A,sample,252,252
QC023,A,qc,253,253
GB004248,A,sample,254,254
GB004224,A,sample,255,255
GB004180,A,sample,256,256
GB004211,A,sample,257,257
GB004222,A,sample,258,258
GB004166,A,sample,259,259
GB004245,A,sample,260,260
GB004209,A,sample,261,261
GB004163,A,sample,262,262
QC024,A,qc,263,263
GB004119,A,sample,264,264
GB004130,A,sample,265,265
GB004214,A,sample,266,266
GB004225,A,sample,267,267
GB004249,A,sample,268,268
GB004189,A,sample,269,269
GB004164,A,sample,270,270
GB004268,A,sample,271,271
GB004258,A,sample,272,272
QC025,A,qc,273,273
GB004221,A,sample,274,274
GB004100,A,sample,275,275
GB004182,A,sample,276,276
GB004183,A,sample,277,277
GB004274,A,sample,278,278
GB004262,A,sample,279,279
GB004254,A,sample,280,280
GB004264,A,sample,281,281
GB004179,A,sample,282,282
GB004213,A,sample,283,283
QC026,A,qc,284,284
GB004200,A,sample,285,285
GB004276,A,sample,286,286
GB004155,A,sample,287,287
GB004246,A,sample,288,288
GB004186,A,sample,289,289
GB004212,A,sample,290,290
GB004233,A,sample,291,291
GB004260,A,sample,292,292
GB004207,A,sample,293,293
GB004027,A,sample,294,294
QC027,A,qc,295,295
GB004337,A,sample,296,296
GB004372,A,sample,297,297
GB004285,A,sample,298,298
GB004333,A,sample,299,299
GB004377,A,sample,300,300
GB004343,A,sample,301,301
GB004362,A,sample,302,302
GB004297,A,sample,303,303
GB004286,A,sample,304,304
GB004345,A,sample,305,305
QC028,A,qc,306,306
GB004353,A,sample,307,307
GB004339,A,sample,308,308
GB004370,A,sample,309,309
GB004323,A,sample,310,310
GB004347,A,sample,311,311
GB004349,A,sample,312,312
GB004357,A,sample,313,313
GB004287,A,sample,314,314
GB004331,A,sample,315,315
GB004327,A,sample,316,316
QC029,A,qc,317,317
GB004303,A,sample,318,318
GB004350,A,sample,319,319
GB004344,A,sample,320,320
GB004308,A,sample,321,321
GB004367,A,sample,322,322
GB004334,A,sample,323,323
GB004288,A,sample,324,324
GB004376,A,sample,325,325
GB004368,A,sample,326,326
QC030,A,qc,327,327
GB003415,A,sample,328,328
GB003691,A,sample,329,329
GB003504,A,sample,330,330
GB003742,A,sample,331,331
GB004197,A,sample,332,332
GB004171,A,sample,333,333
GB004332,A,sample,334,334
QC031,A,qc,335,335
QC000,B,qc,336,336
sample01,B,validate,337,337
GB004487,B,sample,338,338
GB004446,B,sample,339,339
GB004419,B,sample,340,340
GB004542,B,sample,341,341
GB004513,B,sample,342,342
GB004466,B,sample,343,343
GB004481,B,sample,344,344
GB004454,B,sample,345,345
GB004525,B,sample,346,346
GB004512,B,sample,347,347
QC001,B,qc,348,348
GB004471,B,sample,349,349
GB004478,B,sample,350,350
GB004450,B,sample,351,351
GB004486,B,sample,352,352
GB004438,B,sample,353,353
GB004420,B,sample,354,354
GB004428,B,sample,355,355
GB004405,B,sample,356,356
GB004378,B,sample,357,357
GB004495,B,sample,358,358
QC002,B,qc,359,359
GB004417,B,sample,360,360
GB004502,B,sample,361,361
GB004423,B,sample,362,362
GB004509,B,sample,363,363
GB004498,B,sample,364,364
GB004531,B,sample,365,365
GB004418,B,sample,366,366
GB004490,B,sample,367,367
GB004468,B,sample,368,368
GB004394,B,sample,369,369
QC003,B,qc,370,370
GB004443,B,sample,371,371
GB004407,B,sample,372,372
GB004465,B,sample,373,373
GB004410,B,sample,374,374
GB004532,B,sample,375,375
GB004467,B,sample,376,376
GB004501,B,sample,377,377
GB004390,B,sample,378,378
GB004499,B,sample,379,379
GB004389,B,sample,380,380
QC004,B,qc,381,381
GB004484,B,sample,382,382
GB004433,B,sample,383,383
GB004458,B,sample,384,384
GB004483,B,sample,385,385
GB004432,B,sample,386,386
GB004523,B,sample,387,387
GB004537,B,sample,388,388
GB004521,B,sample,389,389
GB004436,B,sample,390,390
GB004379,B,sample,391,391
QC005,B,qc,392,392
GB004508,B,sample,393,393
GB004544,B,sample,394,394
GB004496,B,sample,395,395
GB004456,B,sample,396,396
GB004710,B,sample,397,397
GB004617,B,sample,398,398
GB004605,B,sample,399,399
GB004583,B,sample,400,400
GB004616,B,sample,401,401
GB004552,B,sample,402,402
QC006,B,qc,403,403
GB004628,B,sample,404,404
GB004658,B,sample,405,405
GB004559,B,sample,406,406
GB004667,B,sample,407,407
GB004623,B,sample,408,408
GB004675,B,sample,409,409
GB004568,B,sample,410,410
GB004574,B,sample,411,411
GB004696,B,sample,412,412
GB004569,B,sample,413,413
QC007,B,qc,414,414
GB004611,B,sample,415,415
GB004670,B,sample,416,416
GB004709,B,sample,417,417
GB004684,B,sample,418,418
GB004649,B,sample,419,419
GB004714,B,sample,420,420
GB004595,B,sample,421,421
GB004546,B,sample,422,422
GB004557,B,sample,423,423
GB004594,B,sample,424,424
QC008,B,qc,425,425
GB004645,B,sample,426,426
GB004625,B,sample,427,427
GB004575,B,sample,428,428
GB004556,B,sample,429,429
GB004624,B,sample,430,430
GB004615,B,sample,431,431
GB004580,B,sample,432,432
GB004688,B,sample,433,433
GB004564,B,sample,434,434
GB004711,B,sample,435,435
QC009,B,qc,436,436
GB004715,B,sample,437,437
GB004560,B,sample,438,438
GB004705,B,sample,439,439
GB004712,B,sample,440,440
GB004619,B,sample,441,441
GB004631,B,sample,442,442
GB004629,B,sample,443,443
GB004701,B,sample,444,444
GB004634,B,sample,445,445
GB004676,B,sample,446,446
QC010,B,qc,447,447
sample02,B,validate,448,448
GB004577,B,sample,449,449
GB004601,B,sample,450,450
GB004603,B,sample,451,451
GB004668,B,sample,452,452
GB004665,B,sample,453,453
GB004672,B,sample,454,454
GB004695,B,sample,455,455
GB004662,B,sample,456,456
GB004744,B,sample,457,457
GB004838,B,sample,458,458
QC011,B,qc,459,459
GB004843,B,sample,460,460
GB004846,B,sample,461,461
GB004824,B,sample,462,462
GB004742,B,sample,463,463
GB004796,B,sample,464,464
GB004809,B,sample,465,465
GB004728,B,sample,466,466
GB004855,B,sample,467,467
GB004749,B,sample,468,468
GB004780,B,sample,469,469
QC012,B,qc,470,470
GB004733,B,sample,471,471
GB004812,B,sample,472,472
GB004820,B,sample,473,473
GB004828,B,sample,474,474
GB004851,B,sample,475,475
GB004821,B,sample,476,476
GB004753,B,sample,477,477
GB004802,B,sample,478,478
GB004767,B,sample,479,479
GB004760,B,sample,480,480
QC013,B,qc,481,481
GB004817,B,sample,482,482
GB004839,B,sample,483,483
GB004775,B,sample,484,484
GB004827,B,sample,485,485
GB004831,B,sample,486,486
GB004732,B,sample,487,487
GB004825,B,sample,488,488
GB004854,B,sample,489,489
GB004772,B,sample,490,490
GB004769,B,sample,491,491
QC014,B,qc,492,492
GB004770,B,sample,493,493
GB004800,B,sample,494,494
GB004793,B,sample,495,495
GB004771,B,sample,496,496
GB004848,B,sample,497,497
GB004736,B,sample,498,498
GB004750,B,sample,499,499
GB004754,B,sample,500,500
GB004841,B,sample,501,501
GB004787,B,sample,502,502
QC015,B,qc,503,503
GB004748,B,sample,504,504
GB004762,B,sample,505,505
GB004720,B,sample,506,506
GB004758,B,sample,507,507
GB004847,B,sample,508,508
GB004727,B,sample,509,509
GB004826,B,sample,510,510
GB004835,B,sample,511,511
GB004755,B,sample,512,512
GB004795,B,sample,513,513
QC016,B,qc,514,514
GB004734,B,sample,515,515
GB004759,B,sample,516,516
GB004870,B,sample,517,517
GB004989,B,sample,518,518
GB004981,B,sample,519,519
GB004948,B,sample,520,520
GB004986,B,sample,521,521
GB004943,B,sample,522,522
GB004885,B,sample,523,523
GB004915,B,sample,524,524
QC017,B,qc,525,525
GB004901,B,sample,526,526
GB004923,B,sample,527,527
GB004939,B,sample,528,528
GB004940,B,sample,529,529
GB004942,B,sample,530,530
GB004876,B,sample,531,531
GB004983,B,sample,532,532
GB004967,B,sample,533,533
GB004979,B,sample,534,534
QC018,B,qc,535,535
GB004900,B,sample,536,536
GB004899,B,sample,537,537
GB004902,B,sample,538,538
GB004888,B,sample,539,539
GB004953,B,sample,540,540
GB004857,B,sample,541,541
GB004904,B,sample,542,542
GB004882,B,sample,543,543
GB004928,B,sample,544,544
GB004947,B,sample,545,545
QC019,B,qc,546,546
GB004886,B,sample,547,547
GB004929,B,sample,548,548
GB004918,B,sample,549,549
GB004932,B,sample,550,550
GB004887,B,sample,551,551
GB004867,B,sample,552,552
GB004944,B,sample,553,553
GB004883,B,sample,554,554
GB005000,B,sample,555,555
QC020,B,qc,556,556
sample03,B,validate,557,557
GB004860,B,sample,558,558
GB004916,B,sample,559,559
GB004966,B,sample,560,560
GB005001,B,sample,561,561
GB004946,B,sample,562,562
GB004987,B,sample,563,563
GB004965,B,sample,564,564
GB004938,B,sample,565,565
GB004935,B,sample,566,566
GB004952,B,sample,567,567
QC021,B,qc,568,568
GB004949,B,sample,569,569
GB004970,B,sample,570,570
GB004891,B,sample,571,571
GB004990,B,sample,572,572
GB004980,B,sample,573,573
GB004877,B,sample,574,574
GB005023,B,sample,575,575
GB005019,B,sample,576,576
GB005024,B,sample,577,577
GB005117,B,sample,578,578
QC022,B,qc,579,579
GB005207,B,sample,580,580
GB005057,B,sample,581,581
GB005163,B,sample,582,582
GB005010,B,sample,583,583
GB005028,B,sample,584,584
GB005082,B,sample,585,585
GB005062,B,sample,586,586
GB005161,B,sample,587,587
GB005131,B,sample,588,588
GB005004,B,sample,589,589
QC023,B,qc,590,590
GB005180,B,sample,591,591
GB005157,B,sample,592,592
GB005089,B,sample,593,593
GB005126,B,sample,594,594
GB005142,B,sample,595,595
GB005155,B,sample,596,596
GB005071,B,sample,597,597
GB005176,B,sample,598,598
GB005141,B,sample,599,599
GB005066,B,sample,600,600
QC024,B,qc,601,601
GB005049,B,sample,602,602
GB005072,B,sample,603,603
GB005050,B,sample,604,604
GB005152,B,sample,605,605
GB005160,B,sample,606,606
GB005181,B,sample,607,607
GB005111,B,sample,608,608
GB005067,B,sample,609,609
GB005199,B,sample,610,610
GB005188,B,sample,611,611
QC025,B,qc,612,612
GB005153,B,sample,613,613
GB005041,B,sample,614,614
GB005103,B,sample,615,615
GB005109,B,sample,616,616
GB005202,B,sample,617,617
GB005191,B,sample,618,618
GB005184,B,sample,619,619
GB005194,B,sample,620,620
GB005087,B,sample,621,621
GB005148,B,sample,622,622
QC026,B,qc,623,623
GB005127,B,sample,624,624
GB005203,B,sample,625,625
GB005065,B,sample,626,626
GB005177,B,sample,627,627
GB005110,B,sample,628,628
GB005144,B,sample,629,629
GB005164,B,sample,630,630
GB005189,B,sample,631,631
GB005139,B,sample,632,632
GB005017,B,sample,633,633
QC027,B,qc,634,634
GB005265,B,sample,635,635
GB005313,B,sample,636,636
GB005213,B,sample,637,637
GB005261,B,sample,638,638
GB005320,B,sample,639,639
GB005271,B,sample,640,640
GB005304,B,sample,641,641
GB005219,B,sample,642,642
GB005214,B,sample,643,643
GB005278,B,sample,644,644
QC028,B,qc,645,645
GB005297,B,sample,646,646
GB005269,B,sample,647,647
GB005309,B,sample,648,648
GB005254,B,sample,649,649
GB005285,B,sample,650,650
GB005289,B,sample,651,651
GB005298,B,sample,652,652
GB005216,B,sample,653,653
GB005259,B,sample,654,654
GB005256,B,sample,655,655
QC029,B,qc,656,656
GB005227,B,sample,657,657
GB005295,B,sample,658,658
GB005273,B,sample,659,659
GB005243,B,sample,660,660
GB005260,B,sample,661,661
GB005306,B,sample,662,662
GB005263,B,sample,663,663
GB005217,B,sample,664,664
GB005314,B,sample,665,665
GB005307,B,sample,666,666
QC030,B,qc,667,667
QC031,B,qc,668,668
GB004897,B,sample,669,669
GB004961,B,sample,670,670
QC032,B,qc,671,671
QC000,C,qc,672,672
sample01,C,validate,673,673
GB005324,C,sample,674,674
GB005329,C,sample,675,675
GB005331,C,sample,676,676
GB005333,C,sample,677,677
GB005335,C,sample,678,678
GB005338,C,sample,679,679
GB005340,C,sample,680,680
GB005341,C,sample,681,681
GB005344,C,sample,682,682
GB005345,C,sample,683,683
QC001,C,qc,684,684
GB005348,C,sample,685,685
GB005352,C,sample,686,686
GB005354,C,sample,687,687
GB005361,C,sample,688,688
GB005362,C,sample,689,689
GB005363,C,sample,690,690
GB005367,C,sample,691,691
GB005370,C,sample,692,692
GB005376,C,sample,693,693
GB005384,C,sample,694,694
QC002,C,qc,695,695
GB005385,C,sample,696,696
GB005390,C,sample,697,697
GB005392,C,sample,698,698
GB005394,C,sample,699,699
GB005396,C,sample,700,700
GB005406,C,sample,701,701
GB005409,C,sample,702,702
GB005411,C,sample,703,703
GB005412,C,sample,704,704
QC003,C,qc,705,705
GB005414,C,sample,706,706
GB005417,C,sample,707,707
GB005426,C,sample,708,708
GB005427,C,sample,709,709
GB005436,C,sample,710,710
GB005441,C,sample,711,711
GB005443,C,sample,712,712
GB005449,C,sample,713,713
GB005453,C,sample,714,714
QC004,C,qc,715,715
GB005454,C,sample,716,716
GB005455,C,sample,717,717
GB005458,C,sample,718,718
GB005463,C,sample,719,719
GB005472,C,sample,720,720
GB005482,C,sample,721,721
GB005493,C,sample,722,722
GB005495,C,sample,723,723
GB005497,C,sample,724,724
GB005498,C,sample,725,725
QC005,C,qc,726,726
GB005504,C,sample,727,727
GB005508,C,sample,728,728
GB005514,C,sample,729,729
GB005516,C,sample,730,730
GB005518,C,sample,731,731
GB005526,C,sample,732,732
GB005528,C,sample,733,733
GB005530,C,sample,734,734
GB005533,C,sample,735,735
GB005534,C,sample,736,736
QC006,C,qc,737,737
GB005535,C,sample,738,738
GB005540,C,sample,739,739
GB005541,C,sample,740,740
GB005542,C,sample,741,741
GB005545,C,sample,742,742
GB005549,C,sample,743,743
GB005554,C,sample,744,744
GB005560,C,sample,745,745
GB005563,C,sample,746,746
GB005568,C,sample,747,747
QC007,C,qc,748,748
GB005574,C,sample,749,749
GB005580,C,sample,750,750
GB005581,C,sample,751,751
GB005588,C,sample,752,752
GB005594,C,sample,753,753
GB005600,C,sample,754,754
GB005602,C,sample,755,755
GB005603,C,sample,756,756
GB005604,C,sample,757,757
GB005607,C,sample,758,758
QC008,C,qc,759,759
GB005608,C,sample,760,760
GB005609,C,sample,761,761
GB005611,C,sample,762,762
GB005613,C,sample,763,763
GB005618,C,sample,764,764
GB005622,C,sample,765,765
GB005625,C,sample,766,766
GB005627,C,sample,767,767
GB005628,C,sample,768,768
GB005633,C,sample,769,769
QC009,C,qc,770,770
GB005635,C,sample,771,771
GB005638,C,sample,772,772
GB005641,C,sample,773,773
GB005642,C,sample,774,774
GB005645,C,sample,775,775
GB005646,C,sample,776,776
GB005647,C,sample,777,777
GB005649,C,sample,778,778
GB005653,C,sample,779,779
GB005655,C,sample,780,780
QC010,C,qc,781,781
sample02,C,validate,782,782
GB005660,C,sample,783,783
GB005661,C,sample,784,784
GB005670,C,sample,785,785
GB005676,C,sample,786,786
GB005686,C,sample,787,787
GB005690,C,sample,788,788
GB005691,C,sample,789,789
GB005694,C,sample,790,790
GB005696,C,sample,791,791
GB005697,C,sample,792,792
QC011,C,qc,793,793
GB005703,C,sample,794,794
GB005707,C,sample,795,795
GB005713,C,sample,796,796
GB005717,C,sample,797,797
GB005720,C,sample,798,798
GB005721,C,sample,799,799
GB005722,C,sample,800,800
GB005726,C,sample,801,801
GB005735,C,sample,802,802
GB005736,C,sample,803,803
QC012,C,qc,804,804
GB005746,C,sample,805,805
GB005750,C,sample,806,806
GB005751,C,sample,807,807
GB005756,C,sample,808,808
GB005761,C,sample,809,809
GB005768,C,sample,810,810
GB005770,C,sample,811,811
GB005773,C,sample,812,812
GB005774,C,sample,813,813
GB005775,C,sample,814,814
QC013,C,qc,815,815
GB005777,C,sample,816,816
GB005780,C,sample,817,817
GB005781,C,sample,818,818
GB005783,C,sample,819,819
GB005788,C,sample,820,820
GB005790,C,sample,821,821
GB005791,C,sample,822,822
GB005798,C,sample,823,823
GB005805,C,sample,824,824
GB005808,C,sample,825,825
QC014,C,qc,826,826
GB005812,C,sample,827,827
GB005819,C,sample,828,828
GB005821,C,sample,829,829
GB005824,C,sample,830,830
GB005838,C,sample,831,831
GB005865,C,sample,832,832
GB005866,C,sample,833,833
GB005881,C,sample,834,834
GB005883,C,sample,835,835
GB005898,C,sample,836,836
QC015,C,qc,837,837
GB005903,C,sample,838,838
GB005907,C,sample,839,839
GB005938,C,sample,840,840
GB005950,C,sample,841,841
GB005969,C,sample,842,842
GB005971,C,sample,843,843
GB005973,C,sample,844,844
GB006003,C,sample,845,845
GB006024,C,sample,846,846
GB006026,C,sample,847,847
QC016,C,qc,848,848
GB006055,C,sample,849,849
GB006076,C,sample,850,850
GB006109,C,sample,851,851
GB006134,C,sample,852,852
GB006138,C,sample,853,853
GB006145,C,sample,854,854
GB006148,C,sample,855,855
GB006150,C,sample,856,856
GB009366,C,sample,857,857
GB009411,C,sample,858,858
QC017,C,qc,859,859
GB009466,C,sample,860,860
GB009492,C,sample,861,861
GB009501,C,sample,862,862
GB009504,C,sample,863,863
GB009516,C,sample,864,864
GB009531,C,sample,865,865
GB009537,C,sample,866,866
GB009538,C,sample,867,867
GB009552,C,sample,868,868
GB009568,C,sample,869,869
QC018,C,qc,870,870
GB009589,C,sample,871,871
GB009661,C,sample,872,872
GB009671,C,sample,873,873
GB009674,C,sample,874,874
GB009676,C,sample,875,875
GB009677,C,sample,876,876
GB014911,C,sample,877,877
GB014912,C,sample,878,878
GB015016,C,sample,879,879
GB015024,C,sample,880,880
QC019,C,qc,881,881
GB015029,C,sample,882,882
GB015057,C,sample,883,883
GB015059,C,sample,884,884
GB015090,C,sample,885,885
GB015102,C,sample,886,886
GB015104,C,sample,887,887
GB015108,C,sample,888,888
GB015113,C,sample,889,889
GB015133,C,sample,890,890
GB015136,C,sample,891,891
QC020,C,qc,892,892
sample03,C,validate,893,893
GB015144,C,sample,894,894
GB015160,C,sample,895,895
GB015164,C,sample,896,896
GB015170,C,sample,897,897
GB015173,C,sample,898,898
GB015179,C,sample,899,899
GB015185,C,sample,900,900
GB015295,C,sample,901,901
GB015300,C,sample,902,902
GB015310,C,sample,903,903
QC021,C,qc,904,904
GB015314,C,sample,905,905
GB015315,C,sample,906,906
GB015318,C,sample,907,907
GB015378,C,sample,908,908
GB015395,C,sample,909,909
GB015400,C,sample,910,910
GB015414,C,sample,911,911
GB015416,C,sample,912,912
GB015418,C,sample,913,913
GB015422,C,sample,914,914
QC022,C,qc,915,915
GB015428,C,sample,916,916
GB015483,C,sample,917,917
GB015516,C,sample,918,918
GB015518,C,sample,919,919
GB015536,C,sample,920,920
GB015544,C,sample,921,921
GB015545,C,sample,922,922
GB015553,C,sample,923,923
GB015750,C,sample,924,924
QC023,C,qc,925,925
GB015758,C,sample,926,926
GB015760,C,sample,927,927
GB015761,C,sample,928,928
GB015762,C,sample,929,929
GB015767,C,sample,930,930
GB015800,C,sample,931,931
GB015808,C,sample,932,932
GB015817,C,sample,933,933
GB031749,C,sample,934,934
GB031751,C,sample,935,935
QC024,C,qc,936,936
GB031773,C,sample,937,937
GB031775,C,sample,938,938
GB031784,C,sample,939,939
GB031847,C,sample,940,940
GB031871,C,sample,941,941
GB031872,C,sample,942,942
GB031893,C,sample,943,943
GB031917,C,sample,944,944
GB031927,C,sample,945,945
GB031934,C,sample,946,946
QC025,C,qc,947,947
GB031971,C,sample,948,948
GB031977,C,sample,949,949
GB031991,C,sample,950,950
GB032009,C,sample,951,951
GB032037,C,sample,952,952
GB032049,C,sample,953,953
GB032050,C,sample,954,954
GB032054,C,sample,955,955
GB032056,C,sample,956,956
GB032059,C,sample,957,957
QC026,C,qc,958,958
GB032082,C,sample,959,959
GB032090,C,sample,960,960
GB032092,C,sample,961,961
GB032105,C,sample,962,962
GB032113,C,sample,963,963
GB032235,C,sample,964,964
GB032272,C,sample,965,965
GB032300,C,sample,966,966
GB032305,C,sample,967,967
GB032316,C,sample,968,968
QC027,C,qc,969,969
GB032322,C,sample,970,970
GB032325,C,sample,971,971
GB032332,C,sample,972,972
GB032333,C,sample,973,973
GB032336,C,sample,974,974
GB032352,C,sample,975,975
GB032358,C,sample,976,976
GB032452,C,sample,977,977
GB032456,C,sample,978,978
GB032465,C,sample,979,979
QC028,C,qc,980,980
GB032469,C,sample,981,981
GB032470,C,sample,982,982
GB032471,C,sample,983,983
GB032524,C,sample,984,984
GB032527,C,sample,985,985
GB032559,C,sample,986,986
GB032562,C,sample,987,987
GB032580,C,sample,988,988
GB032582,C,sample,989,989
GB032585,C,sample,990,990
QC029,C,qc,991,991
GB032586,C,sample,992,992
GB032715,C,sample,993,993
GB032719,C,sample,994,994
GB032743,C,sample,995,995
GB032746,C,sample,996,996
GB032769,C,sample,997,997
GB032775,C,sample,998,998
GB032856,C,sample,999,999
GB032892,C,sample,1000,1000
GB032911,C,sample,1001,1001
QC030,C,qc,1002,1002
GB005413,C,sample,1003,1003
GB005442,C,sample,1004,1004
